run,idx,key,phase,action_to_base_rgb_ms,action_to_next_ready_ms,denoise_ms,fwd1_ms,fwd2_ms,fwd3_ms,clean_kv_ms,action_prepare_ms,tae_first_rgb_ms,global_end_index,local_end_index,queue_wait_ms
r2c-ex00-240,176,w,maturity,988.52,1315.19,958.71,329.12,313.11,316.48,304.95,0.09962799958884716,21.116164978593588,178416,12096,0.09
r2c-ex00-240,177,w,maturity,992.37,1318.66,963.07,334.6,314.71,313.75,305.64,0.1874660374596715,21.542935050092638,179424,12096,0.12
r2c-ex00-240,178,w,maturity,990.07,1316.42,960.47,331.79,312.85,315.83,305.64,0.1772459363564849,21.091055939905345,180432,12096,0.09
r2c-ex00-240,179,w,maturity,991.33,1316.57,961.27,331.82,313.78,315.68,305.45,0.05053903441876173,21.28456102218479,181440,12096,0.08
r2c-ex00-240,180,w,maturity,987.09,1315.52,957.85,330.21,313.79,313.84,307.9,0.13666704762727022,21.172882989048958,182448,12096,0.11
r2c-ex00-240,181,w,maturity,985.78,1312.17,955.88,326.84,316.15,312.88,306.06,0.028920010663568974,21.421696059405804,183456,12096,0.07
r2c-ex00-240,182,w,maturity,989.42,1313.12,960.65,331.12,315.0,314.53,302.93,0.09926804341375828,21.05531608685851,184464,12096,0.24
r2c-ex00-240,183,w,maturity,997.02,1322.23,966.14,331.43,320.31,314.41,304.6,0.10842795018106699,21.344657987356186,185472,12096,0.17
r2c-ex00-240,184,w,maturity,995.96,1320.98,962.95,330.41,317.94,314.6,304.7,0.1847059465944767,21.07343391980976,186480,12096,0.09
r2c-ex00-240,185,w,maturity,990.02,1316.7,959.37,331.49,314.81,313.07,306.42,0.14085695147514343,20.99324599839747,187488,12096,0.14
r2c-ex00-240,186,w,maturity,986.08,1311.09,954.2,327.86,314.1,312.24,304.7,0.08829799480736256,21.372847026214004,188496,12096,0.11
r2c-ex00-240,187,w,maturity,997.7,1323.39,967.49,338.4,315.01,314.08,305.61,0.04718895070254803,21.082653081975877,189504,12096,0.17
r2c-ex00-240,188,w,maturity,992.18,1319.27,961.02,330.42,313.78,316.82,306.41,0.1602059928700328,21.271989098750055,190512,12096,0.08
r2c-ex00-240,189,w,maturity,990.12,1317.56,958.98,326.82,315.41,316.76,306.38,0.12921704910695553,21.267128991894424,191520,12096,0.15
r2c-ex00-240,190,w,maturity,992.24,1318.12,959.8,330.74,315.43,313.62,305.31,0.0634979223832488,21.279917913489044,192528,12096,0.23
r2c-ex00-240,191,w,maturity,989.1,1316.07,958.6,328.32,313.76,316.52,306.59,0.07892795838415623,21.048133028671145,193536,12096,0.11
r2c-ex00-240,192,w,maturity,988.18,1316.27,957.44,330.0,313.7,313.74,307.12,0.11509808246046305,21.287637064233422,194544,12096,0.14
r2c-ex00-240,193,w,maturity,995.0,1321.69,963.82,332.12,316.03,315.67,306.1,0.09341805707663298,21.311655989848077,195552,12096,0.08
r2c-ex00-240,194,w,maturity,1006.6,1333.08,973.95,339.24,317.87,316.83,306.24,0.13757601846009493,21.5051609557122,196560,12096,0.08
r2c-ex00-240,195,w,maturity,996.61,1322.79,963.85,329.68,319.08,315.09,305.29,0.13004697393625975,21.53642103075981,197568,12096,0.12
r2c-ex00-240,196,w,maturity,990.07,1314.43,960.08,328.81,314.5,316.77,304.14,1.4503250131383538,21.118119941093028,198576,12096,0.1
r2c-ex00-240,197,w,maturity,999.52,1327.15,968.07,337.96,316.83,313.28,307.56,0.11259689927101135,21.153119043447077,199584,12096,0.14
r2c-ex00-240,198,w,maturity,991.44,1316.17,962.25,331.14,314.44,316.68,304.11,0.05382893141359091,21.436703042127192,200592,12096,0.11
r2c-ex00-240,199,w,maturity,991.83,1320.55,961.58,330.31,315.49,315.78,308.19,0.07219891995191574,21.027822047472,201600,12096,0.11
r2c-ex00-240,200,w,maturity,992.55,1320.04,959.32,329.29,314.92,315.11,307.09,0.1468070549890399,21.974649047479033,202608,12096,0.09
r2c-ex00-240,201,w,maturity,991.44,1318.5,961.23,326.49,318.56,316.18,306.19,0.06687792483717203,21.650227019563317,203616,12096,0.12
r2c-ex00-240,202,w,maturity,1001.65,1331.66,968.93,335.12,317.7,316.11,308.58,0.1611659536138177,21.6030579758808,204624,12096,0.08
